RowN,Line,WorkcellId,Workcell,tShift,tStartHour,SH,OEE,Availability,Performance,Quality,dGoodParts,sScrapParts,dTotalParts,dScrapPcnt,MaxParts,DownTime,TotalTime,IdealAvailTime,lFaultCount,FaultTime,RunTime,AvailableTime,MTBF,MTTR,PlannedDownTime,SpeedLoss,ActualCylceTime,IdealCylceTime,CycleTimeDiff,IdealLostParts,IdealLostPartsMinutes,IdealScrapPartsMinutes,ActualScrapPartsMinutes,tStartHourMachine
354,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-08 00:00:00.000,0,76.8000000178813,89.6430555868011,85.6731171367938,100,288,0,288,0,374.999999912688,6.21416664647249,60,59.9999999860302,0,0,53.7858333395577,59.9999999860302,0,0,1.39698234609871E-08,14.3268828632062,11.2053819457412,9.60000000000001,-1.60538194574118,86.9999999126884,13.9199999860302,0,0,2019-4-8 0_TrayLoader
355,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-08 01:00:00.000,1,80.0000000186263,91.8378055215762,87.1100954168937,100,300,0,300,0,374.999999912689,4.897316685914,60,59.9999999860302,0,0,55.1026833001162,59.9999999860302,0,0,1.39698083027421E-08,12.8899045831063,11.0205366600232,9.6,-1.42053666002323,74.9999999126886,11.9999999860302,0,0,2019-4-8 1_TrayLoader
356,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-08 02:00:00.000,2,72.0000000167638,82.8278888753188,86.9272427372207,100,270,0,270,0,374.999999912689,10.3032666724098,60,59.9999999860302,0,0,49.6967333136203,59.9999999860302,0,0,1.39698461983547E-08,13.0727572627793,11.0437185141379,9.6,-1.44371851413786,104.999999912689,16.7999999860302,0,0,2019-4-8 2_TrayLoader
357,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-08 03:00:00.000,3,78.4000000182538,91.523388877214,85.6611637528345,100,294,0,294,0,374.999999912689,5.08596667248743,60,59.9999999860302,0,0,54.9140333135427,59.9999999860302,0,0,1.39698310401097E-08,14.3388362471655,11.2069455741924,9.6,-1.6069455741924,80.9999999126886,12.9599999860302,0,0,2019-4-8 3_TrayLoader
358,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-08 04:00:00.000,4,78.4000000182538,89.6017777805825,87.4982639409682,100,294,0,294,0,374.999999912689,6.23893333019788,60,59.9999999860302,0,0,53.7610666558323,59.9999999860302,0,0,1.39698310401097E-08,12.5017360590318,10.9716462562923,9.6,-1.3716462562923,80.9999999126885,12.9599999860302,0,0,2019-4-8 4_TrayLoader
359,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-08 05:00:00.000,5,80.0000000186264,91.5031944153026,87.4286417319302,100,300,0,300,0,374.999999912689,5.09808334963148,60,59.9999999860301,0,0,54.9019166363987,59.9999999860301,0,0,1.39698689357222E-08,12.5713582680698,10.9803833272797,9.59999999999999,-1.38038332727974,74.9999999126885,11.9999999860302,0,0,2019-4-8 5_TrayLoader
360,Line1,1000030,TrayLoader,2019-04-07 06:59:57.000,2019-04-08 06:00:00.000,6,76.8558450839574,89.9865851457265,85.4081138421856,100,288,0,288,0,374.72751706183,6.0036833370431,59,59.9564027298927,0,0,53.9527193928496,59.9564027298927,0,0,-0.00640272989273853,14.5918861578144,11.2401498735103,9.6,-1.64014987351034,86.7275170618297,13.8764027298927,0,0,2019-4-8 6_TrayLoader
361,Line1,1000030,TrayLoader,2019-04-08 06:59:57.000,2019-04-08 06:00:00.000,6,0,100,0,0,0,0,0,0,0.272482850858942,0,0,0.0435972561374307,0,0,0.0435972561374307,0.0435972561374307,0,0,0.00640274386256933,0,0,9.6,0,0.272482850858942,0,0,0,2019-4-8 6_TrayLoader
362,Line1,1000030,TrayLoader,2019-04-08 06:59:57.000,2019-04-08 07:00:00.000,7,68.8000000160187,81.6587778205392,86.2124096090548,97.7272727272727,258,6,264,0.0227272727272727,374.999999912689,11.0047333051143,60,59.9999999860302,1,2.00015000651926,48.9952666809159,59.9999999860302,2939.71600085495,1,1.39698461983547E-08,13.7875903909452,11.1352878820263,9.6,-1.53528788202634,110.999999912689,17.7599999860302,0.96,1.11352878820263,2019-4-8 7_TrayLoader
363,Line1,1000030,TrayLoader,2019-04-08 06:59:57.000,2019-04-08 08:00:00.000,8,78.4000000182538,89.5741666978962,87.5252351302032,100,294,0,294,0,374.999999912689,6.25549997980582,60,59.9999999860302,0,0,53.7445000062243,59.9999999860302,0,0,1.39698234609871E-08,12.4747648697968,10.9682653073927,9.6,-1.36826530739273,80.9999999126887,12.9599999860302,0,0,2019-4-8 8_TrayLoader
